 294.50 -0.009579453999037 -0.009782397977956  0.147352891105958 -0.000004299439277 -0.146125939293196 0.150553963598060
 293.37 -0.009658604241310 -0.009865117513090  0.147159178712929 -0.000004415523502 -0.145922085885083 0.150386399024732
 292.26 -0.009738182536581 -0.009948323175509  0.146966078979796 -0.000004534638290 -0.145718754949661 0.150219676924197
 291.14 -0.009818189200509 -0.010032016147212  0.146773590371223 -0.000004656865171 -0.145515944072194 0.150053797887996
 290.03 -0.009898624525283 -0.010116197598250  0.146581711311464 -0.000004782289148 -0.145313650806722 0.149888762533690
 288.92 -0.009979488779372 -0.010200868686611  0.146390440184101 -0.000004910986548 -0.145111872643100 0.149724571432003
 287.82 -0.010060782207294 -0.010286030558106  0.146199775331666 -0.000005043030230 -0.144910607019141 0.149561225122434
 286.72 -0.010142505029369 -0.010371684346254  0.146009715055310 -0.000005178526011 -0.144709851332761 0.149398724146217
 285.63 -0.010224657441475 -0.010457831172184  0.145820257614455 -0.000005317541546 -0.144509602922893 0.149237069007289
 284.54 -0.010307239614811 -0.010544472144508  0.145631401226397 -0.000005460172245 -0.144309859085104 0.149076260194843
 283.45 -0.010390251695650 -0.010631608359207  0.145443144066005 -0.000005606513517 -0.144110617038631 0.148916298166844
 282.37 -0.010473693805095 -0.010719240899530  0.145255484265350 -0.000005756653834 -0.143911873999245 0.148757183382128
 281.29 -0.010557566038837 -0.010807370835879  0.145068419913332 -0.000005910693809 -0.143713627089037 0.148598916244018
 280.22 -0.010641868466906 -0.010895999225690  0.144881949055349 -0.000006068714975 -0.143515873388469 0.148441497144561
 279.15 -0.010726601133430 -0.010985127113333  0.144696069692895 -0.000006230842231 -0.143318609919021 0.148284926478406
 278.09 -0.010811764056386 -0.011074755529994  0.144510779783262 -0.000006397157110 -0.143121833646662 0.148129204575152
 277.03 -0.010897357227350 -0.011164885493561  0.144326077239123 -0.000006567781041 -0.142925541507868 0.147974331773937
 275.97 -0.010983380611258 -0.011255518008522  0.144141959928206 -0.000006742809436 -0.142729730355853 0.147820308369663
 274.92 -0.011069834146149 -0.011346654065849  0.143958425672913 -0.000006922361989 -0.142534396998725 0.147667134641621
 273.87 -0.011156717742920 -0.011438294642884  0.143775472249925 -0.000007106539315 -0.142339538176939 0.147514810846551
 272.82 -0.011244031285078 -0.011530440703232  0.143593097389911 -0.000007295466314 -0.142145150625744 0.147363337213435
 271.78 -0.011331774628484 -0.011623093196649  0.143411298777076 -0.000007489254009 -0.141951230932941 0.147212713932227
